"","type","country","year","mood","Heterogeneity"
"800","Citizen","Ecuador",2014,0.117468738606579,2.10071963444985
"802","Citizen","ElSalvador",1996,-0.437799181566317,1.96596558773391
"806","Citizen","ElSalvador",1998,1.07712072405936,0.489650511821697
"815","Citizen","ElSalvador",2000,1.29777218415485,3.13225392466488
"819","Citizen","ElSalvador",2001,1.15598731310857,1.76446473691494
"826","Citizen","ElSalvador",2002,0.733159165813677,2.28491708668108
"831","Citizen","ElSalvador",2003,-0.132611826060938,1.40500652106033
"836","Citizen","ElSalvador",2004,0.298284606339431,1.93425872700188
"839","Citizen","ElSalvador",2005,0.535314309124363,3.49937873547056
"845","Citizen","ElSalvador",2006,-0.0649299735508622,2.06854238452818
"847","Citizen","ElSalvador",2007,1.95672211689248,3.28337826444044
"858","Citizen","ElSalvador",2008,-0.0924140165335614,1.12260593240432
"875","Citizen","ElSalvador",2009,1.51045842488963,3.04537602715737
"881","Citizen","ElSalvador",2010,0.164342155094075,2.2751998882958
"891","Citizen","ElSalvador",2011,0.384305275189297,2.53225026042262
"895","Citizen","ElSalvador",2012,-0.470492643310193,1.77184193231662
"900","Citizen","ElSalvador",2013,-0.480544820925855,2.09509138909935
"903","Citizen","ElSalvador",2014,0.00519511802542056,2.02968220828492
"905","Citizen","Guatemala",1996,-0.404045571775101,2.15267929854375
"909","Citizen","Guatemala",1998,0.898756304098664,0.692112217335926
"918","Citizen","Guatemala",2000,1.39172253853081,3.18638333318144
"922","Citizen","Guatemala",2001,1.02245171762755,2.31746749772511
"929","Citizen","Guatemala",2002,0.932486763797627,1.81024184702809
"934","Citizen","Guatemala",2003,-0.358215329328112,1.67133955331504
"939","Citizen","Guatemala",2004,0.457544038659257,1.69534123966844
"942","Citizen","Guatemala",2005,0.813509142465319,3.69742191859951
"948","Citizen","Guatemala",2006,0.262643691218623,2.2971078836964
"950","Citizen","Guatemala",2007,0.881127726475383,5.71258682441297
"961","Citizen","Guatemala",2008,-0.0736793504280842,1.22999892303439
"978","Citizen","Guatemala",2009,0.737914234089477,4.88431185947995
"984","Citizen","Guatemala",2010,0.141166861112812,2.54295122487108
"994","Citizen","Guatemala",2011,0.0194667962459132,2.83146730524309
"998","Citizen","Guatemala",2012,-0.0610952271966951,2.30797706106067
"1003","Citizen","Guatemala",2013,0.0875570290360564,2.2370219725947
"1006","Citizen","Guatemala",2014,0.1839720227921,2.1724640090559
"1008","Citizen","Honduras",1996,-0.838126435475262,1.80294223407597
"1012","Citizen","Honduras",1998,0.9148799122576,0.502895179362364
"1021","Citizen","Honduras",2000,1.47871357669363,3.34830803629908
"1025","Citizen","Honduras",2001,0.542218651039187,2.03634985603849
"1032","Citizen","Honduras",2002,0.666542070378733,2.47099473476076
"1037","Citizen","Honduras",2003,0.680339183493991,1.11878260438411
"1042","Citizen","Honduras",2004,0.654132103706944,1.47348612328164
"1045","Citizen","Honduras",2005,1.24392514781288,2.78852503030751
"1051","Citizen","Honduras",2006,0.382572101224832,2.40577779427315
"1053","Citizen","Honduras",2007,1.67747072976197,4.23209716156592
"1064","Citizen","Honduras",2008,0.361650625907397,0.893213310319698
"1081","Citizen","Honduras",2009,1.84528552043798,3.06357037646768
"1087","Citizen","Honduras",2010,0.769662891269004,2.56566828748283
"1097","Citizen","Honduras",2011,0.238081930938824,2.48059158467012
"1101","Citizen","Honduras",2012,0.388270919716028,2.50880623032841
"1106","Citizen","Honduras",2013,0.47027011488986,1.82343848207061
"1109","Citizen","Honduras",2014,0.227291118896217,2.09285539598448
"1111","Citizen","Mexico",1996,-0.359465595950393,1.75273401103574
"1115","Citizen","Mexico",1998,0.056370530381036,0.64373257954397
"1124","Citizen","Mexico",2000,0.883816615101547,3.24950172721455
"1128","Citizen","Mexico",2001,0.691166676636853,3.79752889956658
"1135","Citizen","Mexico",2002,0.437944160045753,2.22012194463958
"1140","Citizen","Mexico",2003,-0.086774137028773,1.37725798125823
"1145","Citizen","Mexico",2004,0.532885290192465,1.95132307217991
"1148","Citizen","Mexico",2005,1.43523255754856,2.57856101632632
"1154","Citizen","Mexico",2006,0.630369601656585,2.33693341857001
"1156","Citizen","Mexico",2007,1.96838136619913,3.24872298803728
"1167","Citizen","Mexico",2008,-0.889850507210335,1.38448364391522
"1184","Citizen","Mexico",2009,1.35014120945051,3.36548657355378
"1190","Citizen","Mexico",2010,-0.104936913611381,2.33444787368001
"1200","Citizen","Mexico",2011,0.286337361481237,2.02922017187339
"1204","Citizen","Mexico",2012,-0.628747921327199,1.64757739877598
"1209","Citizen","Mexico",2013,0.200780347952099,2.11034378340567
"1212","Citizen","Mexico",2014,-0.0737430049219331,1.92535699337339
"1214","Citizen","Nicaragua",1996,-0.615786887632006,1.75128196374701
"1218","Citizen","Nicaragua",1998,1.26273185950044,0.470730348602605
"1227","Citizen","Nicaragua",2000,1.68729530639799,2.19825569848983
"1231","Citizen","Nicaragua",2001,1.56612383038254,1.47646601704335
"1238","Citizen","Nicaragua",2002,1.1675528274302,1.7573918894635
"1243","Citizen","Nicaragua",2003,0.45952124634357,1.15187319075107
"1248","Citizen","Nicaragua",2004,0.893188019149653,1.43109971089123
"1251","Citizen","Nicaragua",2005,1.38879681313392,2.30766490680739
"1257","Citizen","Nicaragua",2006,-0.0479732422284895,2.00362943105116
"1259","Citizen","Nicaragua",2007,2.1083500504489,3.06428047702674
"1270","Citizen","Nicaragua",2008,0.30372214302842,1.01157628392437
"1287","Citizen","Nicaragua",2009,1.39212521948864,3.04689948280505
"1293","Citizen","Nicaragua",2010,0.725595814094738,1.75447450262754
"1303","Citizen","Nicaragua",2011,0.763877237552804,1.5566593635017
"1307","Citizen","Nicaragua",2012,-0.371898008886986,1.71061242799741
"1312","Citizen","Nicaragua",2013,0.604954832016089,2.00031500409033
"1315","Citizen","Nicaragua",2014,0.153332869139215,2.08113856219695
"1317","Citizen","Panama",1996,-0.430970497322201,1.86647345663497
"1321","Citizen","Panama",1998,0.548193273841546,0.913547458273227
"1330","Citizen","Panama",2000,0.363461474393445,2.52087951494935
"1334","Citizen","Panama",2001,0.632459653049082,3.68619285198571
"1341","Citizen","Panama",2002,0.298321209378631,2.62322015777671
"1346","Citizen","Panama",2003,-0.516380913609547,1.42075354646949
"1351","Citizen","Panama",2004,0.0550089485990009,1.73031531275511
"1354","Citizen","Panama",2005,0.507911420899034,1.55331264519105
"1360","Citizen","Panama",2006,0.0126453657541938,2.16252050502787
"1362","Citizen","Panama",2007,1.20211948827909,3.74088546751937
"1373","Citizen","Panama",2008,-0.359933692629747,1.30378267748733
"1390","Citizen","Panama",2009,1.04136191362317,3.1502085361034
"1396","Citizen","Panama",2010,0.616295610658266,2.29759976602874
"1406","Citizen","Panama",2011,0.828958995414377,3.07491929273903
"1410","Citizen","Panama",2012,-0.288186754200838,2.02715086683929
"1415","Citizen","Panama",2013,-0.042105458746167,2.43406008572779
"1418","Citizen","Panama",2014,0.722598509875033,2.68328449215525
"1420","Citizen","Paraguay",1996,-0.121297256865863,2.14637398494834
"1424","Citizen","Paraguay",1998,1.22362742250653,0.798851602011553
"1433","Citizen","Paraguay",2000,1.27448003078919,3.30834518473846
"1437","Citizen","Paraguay",2001,1.62153771697408,1.78667803371885
"1444","Citizen","Paraguay",2002,0.420248360437747,1.99596801137194
"1449","Citizen","Paraguay",2003,0.497318605259942,1.29387579128267
"1454","Citizen","Paraguay",2004,0.377981612643126,1.77221310538088
"1457","Citizen","Paraguay",2005,0.838623457900231,3.22420609162225
"1463","Citizen","Paraguay",2006,0.0674587632847003,2.14440434040552
"1465","Citizen","Paraguay",2007,1.59277640957622,3.87068519950096
"1476","Citizen","Paraguay",2008,0.144721239236211,1.23386124161182
"1493","Citizen","Paraguay",2009,1.20346315035578,3.36672728381748
"1499","Citizen","Paraguay",2010,1.07954240930494,1.25774881904499
"1509","Citizen","Paraguay",2011,1.15095573648806,2.31645929937398
"1513","Citizen","Paraguay",2012,-0.305143876012446,1.86598127380401
"1518","Citizen","Paraguay",2013,0.614867364820473,1.58476655051321
"1521","Citizen","Paraguay",2014,0.158283420752134,2.07786154353381
"1523","Citizen","Peru",1996,-0.567933870787905,1.88469214893526
"1527","Citizen","Peru",1998,1.01298996276097,0.681004098998962
"1536","Citizen","Peru",2000,1.49394046592715,2.65418963267417
"1540","Citizen","Peru",2001,0.935641257473108,2.98722611925224
"1547","Citizen","Peru",2002,0.230403816567211,2.23060461607798
"1552","Citizen","Peru",2003,0.186521576885469,1.35546095708018
"1557","Citizen","Peru",2004,0.472741308958137,1.73514824601817
"1560","Citizen","Peru",2005,1.09477092119818,2.65050039972334
"1566","Citizen","Peru",2006,0.350086282191088,2.48679300759487
"1568","Citizen","Peru",2007,1.61129140382048,4.12592017311864
"1579","Citizen","Peru",2008,0.0827253832871868,1.04933014823911
"1596","Citizen","Peru",2009,1.15018667983118,3.80592783695247
"1602","Citizen","Peru",2010,0.460710792804364,2.64695686740533
"1612","Citizen","Peru",2011,0.545086078004838,2.22462285474311
"1616","Citizen","Peru",2012,-0.388060003985199,1.99613800808462
"1621","Citizen","Peru",2013,0.450146897267873,2.11185534323368
"1624","Citizen","Peru",2014,0.241621753518363,2.19123272090989
"1626","Citizen","Uruguay",1996,-0.231860069569362,1.71834875802758
"1630","Citizen","Uruguay",1998,0.336284425140684,1.00976926636674
"1639","Citizen","Uruguay",2000,0.245339857226951,3.48246441987059
"1643","Citizen","Uruguay",2001,0.52088137108556,2.74701261074647
"1650","Citizen","Uruguay",2002,-0.448699630463623,2.13489018944801
"1655","Citizen","Uruguay",2003,0.134525830083701,1.31364436961566
"1660","Citizen","Uruguay",2004,0.220950280699244,1.9712659358585
"1663","Citizen","Uruguay",2005,1.72544668182216,2.00762160344668
"1669","Citizen","Uruguay",2006,0.508838292539358,2.41751986395676
"1671","Citizen","Uruguay",2007,1.90653416512997,2.18303667135262
"1682","Citizen","Uruguay",2008,0.406766291596415,0.91667802714167
"1699","Citizen","Uruguay",2009,1.11042847686251,3.40056754932396
"1705","Citizen","Uruguay",2010,0.587691759741611,1.66035175689644
"1715","Citizen","Uruguay",2011,0.777324400587502,1.6591113716598
"1719","Citizen","Uruguay",2012,-0.303952498765928,1.77506646106344
"1724","Citizen","Uruguay",2013,0.562272159123151,1.900807602779
"1727","Citizen","Uruguay",2014,0.309995870840372,2.14655558357739
"1729","Citizen","Venezuela",1996,-0.31627563428867,2.21687876362142
"1733","Citizen","Venezuela",1998,1.17374836245451,0.850764351404546
"1742","Citizen","Venezuela",2000,1.63741415588647,2.82481253262098
"1746","Citizen","Venezuela",2001,1.12199026919954,3.71470035584721
"1753","Citizen","Venezuela",2002,0.384531939552238,2.13773747204098
"1758","Citizen","Venezuela",2003,-0.0884179371406244,1.59919050133269
"1763","Citizen","Venezuela",2004,0.489517909207488,2.13268923269563
"1766","Citizen","Venezuela",2005,1.41835914359417,2.8256450502717
"1772","Citizen","Venezuela",2006,0.847170472777869,2.5271719079912
"1774","Citizen","Venezuela",2007,1.61076027577748,4.62319828540932
"1785","Citizen","Venezuela",2008,0.322836946951411,1.36408707313555
"1802","Citizen","Venezuela",2009,0.832317290765319,3.76395240248944
"1808","Citizen","Venezuela",2010,0.8851865629241,2.20593593883915
"1818","Citizen","Venezuela",2011,0.6219505044535,2.42492728521925
"1822","Citizen","Venezuela",2012,0.0193151867927835,2.0623214672597
"1827","Citizen","Venezuela",2013,0.705601257181575,2.12013348117363
"1830","Citizen","Venezuela",2014,0.815776464842124,2.33366983467173
"1832","Legislator","Argentina",1995,1.53477005541356,2.4770552385253
"1841","Legislator","Argentina",1997,1.11036323600961,0.472716142198712
"1855","Legislator","Argentina",2003,0.47109946909675,1.281766307442
"1866","Legislator","Argentina",2005,0.0747104069903778,3.21294573487174
"1875","Legislator","Argentina",2009,-0.549040025538376,2.53556581948936
"1881","Legislator","Bolivia",1993,1.77483309277515,0.485451015754554
"1891","Legislator","Bolivia",1997,0.802922786451583,0.456416279176733
"1905","Legislator","Bolivia",2002,0.279664029119215,1.68919347806249
"1916","Legislator","Bolivia",2006,0.138869201727061,2.155955814254
"1925","Legislator","Brazil",2003,0.536677204309418,1.04195879128398
"1936","Legislator","Brazil",2007,1.00482224682634,2.61426407453605
"1943","Legislator","Brazil",2013,2.25502977180918,0.693504114942304
"1950","Legislator","Chile",1993,2.12119100852577,1.04653463656695
"1960","Legislator","Chile",1997,1.32744714669812,0.250982830704054
"1974","Legislator","Chile",2002,1.09099357210594,0.794172915634269
"1985","Legislator","Chile",2006,1.17680355688216,1.79767157833196
"1994","Legislator","Chile",2010,0.768805758185385,3.00361057337651
"2001","Legislator","Colombia",1998,0.767368111821238,1.07111220288195
"2015","Legislator","Colombia",2002,0.492271460406816,2.04724129581373
"2026","Legislator","Colombia",2006,0.61098280846917,1.97762384744242
"2034","Legislator","Colombia",2010,0.0370623285737988,4.7874004387586
"2041","Legislator","CostaRica",1994,0.475233508384676,3.06513348370706
"2050","Legislator","CostaRica",1998,0.53235280266599,0.504952455697543
"2064","Legislator","CostaRica",2002,0.0566589662916181,2.47028827156501
"2074","Legislator","CostaRica",2006,0.263095002708536,1.91161610940249
"2083","Legislator","CostaRica",2010,-0.0890033103514865,2.34527791534933
"2089","Legislator","DominicanRep",1994,0.423726357408426,3.06144661277632
"2097","Legislator","DominicanRep",1998,0.622239731548786,0.768710695458357
"2111","Legislator","DominicanRep",2002,0.252068428923618,1.37287132077664
"2121","Legislator","DominicanRep",2006,1.05457513644901,1.08590464118277
"2130","Legislator","DominicanRep",2010,0.359912875543959,3.36580633042708
"2137","Legislator","Ecuador",1996,0.731698876048675,3.35018603668792
"2145","Legislator","Ecuador",1998,0.907112461746822,0.434566584801344
"2159","Legislator","Ecuador",2002,0.259879686224601,1.49311233602334
"2169","Legislator","Ecuador",2007,-0.521904490559728,2.15353785208877
"2178","Legislator","Ecuador",2009,-0.662639739433348,2.02575778686539
"2185","Legislator","ElSalvador",1994,1.11525983469763,2.99668768240817
"2195","Legislator","ElSalvador",1997,1.03969252854463,0.419987470819229
"2209","Legislator","ElSalvador",2000,0.89131793190721,0.524024543605191
"2223","Legislator","ElSalvador",2003,0.62753648104774,1.30323960610007
"2234","Legislator","ElSalvador",2009,-0.417180539556562,2.23662195631698
"2243","Legislator","Guatemala",1995,1.30015685044304,0.249973107216852
"2257","Legislator","Guatemala",2000,0.924439203650246,0.762410017708998
"2268","Legislator","Guatemala",2004,0.9199826386874,0.943559636670252
"2279","Legislator","Guatemala",2008,1.13689957982557,1.04419701297977
"2288","Legislator","Guatemala",2012,0.657207752574928,2.8603784511068
"2294","Legislator","Honduras",1994,-0.0417411069189506,2.97128811948894
"2304","Legislator","Honduras",1997,1.16982136502821,0.336679223787739
"2318","Legislator","Honduras",2002,0.952997642716954,0.989492908324114
"2329","Legislator","Honduras",2006,0.581636572595609,1.23608820151744
"2338","Legislator","Honduras",2010,0.916188861293737,3.57527377484695
"2345","Legislator","Mexico",1994,0.418451272015143,2.41011011967227
"2355","Legislator","Mexico",1997,0.483689870440708,0.705859874948269
"2368","Legislator","Mexico",2000,0.564016729688275,0.60892713378864
"2382","Legislator","Mexico",2003,-0.0468399233963675,2.11264126272122
"2393","Legislator","Mexico",2006,-0.381699069767747,1.22568073779656
"2402","Legislator","Mexico",2009,-0.0610922935877569,2.08049966309843
"2408","Legislator","Nicaragua",1996,1.05016630353064,0.380483839324176
"2422","Legislator","Nicaragua",2002,0.801803429347533,2.19039005181511
"2433","Legislator","Nicaragua",2007,0.970197468768958,1.35558985214051
"2442","Legislator","Panama",1999,1.68806546690943,1.1124947712869
"2453","Legislator","Panama",2004,1.2616835366157,2.27414196333227
"2464","Legislator","Panama",2009,-0.358439532736208,2.36634496082921
"2473","Legislator","Paraguay",1993,1.16485907096877,3.58819129733061
"2483","Legislator","Paraguay",1998,1.37580449058367,0.443358325385208
"2497","Legislator","Paraguay",2003,0.33717036366369,1.9996628580842
"2508","Legislator","Paraguay",2008,1.17574449676732,1.04389283369605
"2516","Legislator","Peru",1995,1.90542103528046,1.54033430902181
"2526","Legislator","Peru",2001,0.728652793327739,0.427419104318931
"2540","Legislator","Peru",2006,0.951461967283403,2.63936151593412
"2551","Legislator","Uruguay",1995,1.16642987996251,3.13065221724345
"2560","Legislator","Uruguay",2000,1.07312264759008,0.626812956691761
"2574","Legislator","Uruguay",2005,0.471246907197115,1.92435654183568
"2585","Legislator","Uruguay",2009,-0.692729164510094,2.98505167457024
"2592","Legislator","Venezuela",1993,1.14130223924228,4.28548131445463
"2602","Legislator","Venezuela",2000,1.59498440509952,0.653917399704257
"2616","President","Argentina",1995,2.133167947184,5.8346013898765
"2631","President","Argentina",1997,2.52056678776139,5.03856170297793
"2646","President","Argentina",2003,-0.056066973054621,5.63873386278374
"2661","President","Argentina",2005,-0.826696701755517,4.66692593802053
"2676","President","Argentina",2009,0.595291101040429,6.20555428615693
"2691","President","Bolivia",1993,1.25192817670866,6.07059871311137
"2706","President","Bolivia",1997,3.4491552803827,4.35563594608449
"2721","President","Bolivia",2002,2.53583359968042,6.34660485447016
"2736","President","Bolivia",2006,-0.121804935282583,5.67601550584819
"2751","President","Brazil",2003,0.386923197947041,7.03903118026016
"2766","President","Brazil",2007,2.06300928220654,7.00796552219687
"2781","President","Brazil",2013,0.302026440844874,6.99298893574286
"2796","President","Chile",1993,2.82707743784344,4.74444002169508
"2811","President","Chile",1997,-0.0293059285457343,6.12174217725437
"2826","President","Chile",2002,2.2068773446778,4.60847156499057
"2841","President","Chile",2006,-0.229506764308118,5.61394277271831
"2856","President","Chile",2010,0.314929138016565,6.12905234995942
"2871","President","Colombia",1998,3.1684822257627,3.81094969330788
"2886","President","Colombia",2002,1.81031208168097,5.78586517617538
"2901","President","Colombia",2006,0.74852383190897,5.92504381224783
"2916","President","Colombia",2010,1.69671160083944,5.85047664596499
"2931","President","CostaRica",1994,-0.0135232505354064,5.0231174449694
"2946","President","CostaRica",1998,3.31694706267456,3.72752189846324
"2961","President","CostaRica",2002,0.0670664037045719,4.83286043767037
"2976","President","CostaRica",2006,1.84978173982958,5.0063672099642
"2991","President","CostaRica",2010,0.389036867684871,5.34698526227775
"3006","President","DominicanRep",1994,1.97982823342776,5.92243610587771
"3021","President","DominicanRep",1998,1.73812517424894,6.02567734480497
"3036","President","DominicanRep",2002,1.69446541410099,5.51287159753685
"3051","President","DominicanRep",2006,1.5460225084813,6.17638390446361
"3066","President","DominicanRep",2010,1.58355469853177,6.08840462386217
"3081","President","Ecuador",1996,1.22248940033987,5.4128024595368
"3096","President","Ecuador",1998,2.24657664680351,4.51698725199724
"3111","President","Ecuador",2002,2.05910218875608,4.72791638372183
"3126","President","Ecuador",2007,2.25433270417149,4.50723528207519
"3141","President","Ecuador",2009,0.138031796102753,4.9223159779455
"3156","President","ElSalvador",1994,1.46321864253164,5.43188695359598
"3171","President","ElSalvador",1997,2.38931095052315,4.4151750689611
"3186","President","ElSalvador",2000,0.356519513783489,5.43106944387506
"3201","President","ElSalvador",2003,3.41476879934375,3.71724681881003
"3216","President","ElSalvador",2009,0.862337692482817,5.56281383465818
"3231","President","Guatemala",1995,1.7650246329973,5.37036247063436
