"","actor.type","year","real.year","country","country.name","Mood","Polarization"
"415",3,13,2005,17,"Uruguay",-0.199278332036845,1.41605543578369
"416",3,17,2009,17,"Uruguay",-1.63111787392373,2.75159320730024
"417",4,3,1995,1,"Argentina",1.46159047412853,5.3961662279483
"418",4,5,1997,1,"Argentina",1.81094441077826,4.60745878793235
"419",4,11,2003,1,"Argentina",-0.837488916258526,5.01148535362425
"420",4,13,2005,1,"Argentina",-1.52302361625401,3.92430668570468
"421",4,17,2009,1,"Argentina",-0.156588640666015,5.3588394930915
"422",4,1,1993,2,"Bolivia",0.363819259981339,5.89083155535308
"423",4,5,1997,2,"Bolivia",2.59919479754893,4.3496538762346
"424",4,10,2002,2,"Bolivia",1.94349455293724,6.82234857059313
"425",4,14,2006,2,"Bolivia",-1.06325511561011,5.03527859958912
"426",4,11,2003,3,"Brazil",-0.663876140366963,5.62805828911481
"427",4,15,2007,3,"Brazil",1.03760110566585,5.80749378436149
"428",4,21,2013,3,"Brazil",-0.842537069110844,5.78131539328334
"429",4,1,1993,4,"Chile",1.84438929654248,4.36805047832924
"430",4,5,1997,4,"Chile",-1.00190550232078,5.33718247013211
"431",4,10,2002,4,"Chile",1.10807164449024,4.69456629333474
"432",4,14,2006,4,"Chile",-1.18980700565028,4.89644782591372
"433",4,18,2010,4,"Chile",-0.618211725870757,5.45870942035204
"434",4,6,1998,5,"Colombia",2.06820708366067,3.92981230185438
"435",4,10,2002,5,"Colombia",0.821518762671451,5.34332081107151
"436",4,14,2006,5,"Colombia",-0.307705254628144,5.45304427682083
"437",4,18,2010,5,"Colombia",0.750195415490344,5.46543205890524
"438",4,2,1994,6,"CostaRica",-0.977158657863806,4.80143745526786
"439",4,6,1998,6,"CostaRica",2.51564127361733,4.11202266352674
"440",4,10,2002,6,"CostaRica",-0.896434850100638,4.74019556905212
"441",4,14,2006,6,"CostaRica",1.02169371109613,5.26502464752009
"442",4,18,2010,6,"CostaRica",-0.576611728960005,5.15840015486144
"443",4,2,1994,7,"DominicanRep",0.841417975590575,5.48726691526083
"444",4,6,1998,7,"DominicanRep",0.578912162473974,5.63296887447764
"445",4,10,2002,7,"DominicanRep",0.538039072017822,4.83752029020087
"446",4,14,2006,7,"DominicanRep",0.423932109057749,5.73579819386682
"447",4,18,2010,7,"DominicanRep",0.454638673491076,5.69113716550124
"448",4,4,1996,8,"Ecuador",0.31770604983365,5.72067438783466
"449",4,6,1998,8,"Ecuador",1.4674998845267,5.07471481010217
"450",4,10,2002,8,"Ecuador",1.18604870041121,5.15355127969543
"451",4,15,2007,8,"Ecuador",1.43898746705373,5.12010949813389
"452",4,17,2009,8,"Ecuador",-0.866012690491541,4.75483570450448
"453",4,2,1994,9,"ElSalvador",0.568589077624625,5.45529871163918
"454",4,5,1997,9,"ElSalvador",1.46624674694451,4.63429499562077
"455",4,8,2000,9,"ElSalvador",-0.614293697358761,5.14148638140782
"456",4,11,2003,9,"ElSalvador",2.50906289188111,4.03071133677654
"457",4,17,2009,9,"ElSalvador",-0.0914060424243163,5.25058400469749
"458",4,3,1995,10,"Guatemala",0.95746284984433,5.52302959745891
"459",4,8,2000,10,"Guatemala",-0.96609495388755,4.87624458276698
"460",4,12,2004,10,"Guatemala",0.605789535878063,5.64612003303879
"461",4,16,2008,10,"Guatemala",0.643670296731824,5.623611187363
"462",4,20,2012,10,"Guatemala",0.872738942343477,5.54436660534961
"463",4,2,1994,11,"Honduras",0.590197952989283,5.71925455251751
"464",4,5,1997,11,"Honduras",0.307663690355093,5.76586965857333
