"","actor.type","year","country","Mood","Polarization"
"110",1,19,7,-0.7845945,2.389425
"111",1,20,7,-0.571352,1.4382
"112",1,21,7,0.0222233,1.84691
"113",1,22,7,-0.429846,1.89265
"114",1,4,8,-0.924594,1.56788
"115",1,6,8,0.2847845,0.53253
"116",1,8,8,0.591652,3.369175
"117",1,9,8,0.0496926,1.873075
"118",1,10,8,-0.3419435,2.14024
"119",1,11,8,-0.895325,1.125945
"120",1,12,8,-0.6691065,1.5416
"121",1,13,8,0.107413,2.839485
"122",1,14,8,-0.1063165,1.690215
"123",1,15,8,0.208289,3.946615
"124",1,16,8,-0.473744,0.8914205
"125",1,17,8,-0.228992,4.26524
"126",1,18,8,0.2310175,1.254405
"127",1,19,8,0.0555085,1.48894
"128",1,20,8,-0.2041115,1.84964
"129",1,21,8,0.672412,2.347965
"130",1,22,8,-0.09116175,2.11547
"131",1,4,9,-0.6502275,1.62349
"132",1,6,9,0.329036,0.4713255
"133",1,8,9,0.532004,3.5482
"134",1,9,9,0.01885875,1.23981
"135",1,10,9,0.034717,2.535445
"136",1,11,9,-0.6049925,0.946525
"137",1,12,9,-0.4869335,1.503385
"138",1,13,9,-0.3734605,3.1664
"139",1,14,9,-0.581579,1.576445
"140",1,15,9,0.826775,1.985245
"141",1,16,9,-0.522444,0.919878
"142",1,17,9,0.5284975,2.56773
"143",1,18,9,-0.1773795,1.7704
"144",1,19,9,-0.3568745,2.376425
"145",1,20,9,-0.437421,1.57715
"146",1,21,9,-1.22945,1.429485
"147",1,22,9,0.2575945,1.921045
"148",1,4,10,-0.6539265,1.854215
"149",1,6,10,0.266365,0.6200745
"150",1,8,10,0.743245,3.42154
"151",1,9,10,0.03285485,1.37311
"152",1,10,10,0.0553738,1.385005
"153",1,11,10,-1.111615,1.058215
"154",1,12,10,-0.331166,1.19405
"155",1,13,10,0.0936685,3.812085
"156",1,14,10,-0.05726745,1.668925
"157",1,15,10,0.2400895,4.671365
"158",1,16,10,-0.4845045,0.933388
"159",1,17,10,0.0629353,5.05834
"160",1,18,10,-0.204349,2.106645
"161",1,19,10,-0.7462,2.83154
"162",1,20,10,-0.0768733,1.91647
"163",1,21,10,-0.7164605,1.639195
"164",1,22,10,0.2037115,1.930515
"165",1,4,11,-0.8917495,1.45164
"166",1,6,11,0.1683095,0.4316995
"167",1,8,11,0.980751,3.686255
"168",1,9,11,-0.13673,1.085285
"169",1,10,11,-0.1111245,2.523725
"170",1,11,11,-0.1882315,0.6513015
"171",1,12,11,-0.1851525,1.178425
"172",1,13,11,0.475052,2.65717
"173",1,14,11,0.0207287,1.887485
"174",1,15,11,0.4489895,3.35508
"175",1,16,11,-0.416715,0.8648355
"176",1,17,11,0.909564,2.600105
"177",1,18,11,0.13602,2.146985
"178",1,19,11,-0.618087,2.183985
"179",1,20,11,0.124487,2.44909
"180",1,21,11,-0.4635125,1.158895
"181",1,22,11,0.2204375,1.98445
"182",1,4,12,-0.448531,1.456425
"183",1,6,12,-0.3094205,0.613229
"184",1,8,12,-0.2633125,4.328975
"185",1,9,12,-0.5597735,3.43811
"186",1,10,12,-0.678903,1.88454
"187",1,11,12,-0.7446205,0.8451355
"188",1,12,12,-0.06898055,1.434035
"189",1,13,12,0.1150915,3.23948
"190",1,14,12,0.4861625,1.930985
"191",1,15,12,0.6467285,3.91752
"192",1,16,12,-0.816769,0.905707
"193",1,17,12,0.03988425,3.795835
"194",1,18,12,-0.323739,1.85759
"195",1,19,12,-0.5191435,2.033135
"196",1,20,12,-0.72485,1.664435
"197",1,21,12,-0.661039,2.021195
"198",1,22,12,-0.3350115,1.90907
"199",1,4,13,-1.06186,1.42119
"200",1,6,13,0.190512,0.363765
"201",1,8,13,0.9206135,2.42339
"202",1,9,13,0.271122,1.05663
"203",1,10,13,0.1198115,1.57456
"204",1,11,13,-0.528336,0.768302
"205",1,12,13,-0.1271665,0.9914
"206",1,13,13,0.3129785,2.22126
"207",1,14,13,-0.7397665,1.39298
"208",1,15,13,0.865344,2.01326
"209",1,16,13,-0.4574525,0.7566365
"210",1,17,13,0.240083,2.49148
"211",1,18,13,0.0799653,1.211885
"212",1,19,13,-0.3041725,1.1461
"213",1,20,13,-0.5134245,1.274565
"214",1,21,13,-0.437023,1.5657
"215",1,22,13,0.380035,1.59763
"216",1,4,14,-0.7642685,1.63687
"217",1,6,14,-0.0382753,0.6972645
"218",1,8,14,-0.2478305,3.04635
"219",1,9,14,-0.01280355,2.387265
"220",1,10,14,-0.327711,2.502235
"221",1,11,14,-0.9916695,1.175515
"222",1,12,14,-0.5121875,1.335225
