"","country","date","ccode","year","Month","Election.Lower","Inauguration.Lower","Election.Upper","Inauguration.Upper","Election.Exec","Inauguration.Exec","Combo","who","sessions","reservedareasecandfin","urgencybills","residualdecree","cdacontent","cdaoutcome","referendum2","budgetspending","budgetoutcome","vetochambers","vetooverride","lineitem","partialobservationsoverride","budgetveto","h_ballot","h_vote","h_pool","s_ballot","s_vote","s_pool","hpartys","govsh","mingov","govcoal"
"63","Argentina",Mar 1984,10,1984,"March",NA,NA,NA,NA,NA,NA,3,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"64","Argentina",Apr 1984,10,1984,"April",NA,NA,NA,NA,NA,NA,3,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"65","Argentina",May 1984,10,1984,"May",NA,NA,NA,NA,NA,NA,3,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"66","Argentina",Jun 1984,10,1984,"June",NA,NA,NA,NA,NA,NA,3,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"67","Argentina",Jul 1984,10,1984,"July",NA,NA,NA,NA,NA,NA,3,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"68","Argentina",Aug 1984,10,1984,"August",NA,NA,NA,NA,NA,NA,3,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"69","Argentina",Sep 1984,10,1984,"September",NA,NA,NA,NA,NA,NA,3,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"70","Argentina",Oct 1984,10,1984,"October",NA,NA,NA,NA,NA,NA,3,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"71","Argentina",Nov 1984,10,1984,"November",NA,NA,NA,NA,NA,NA,3,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"72","Argentina",Dec 1984,10,1984,"December",NA,NA,NA,NA,NA,NA,3,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
