"year","country","type","mood_spline","Heterogeneity_spline","mood_const","Heterogeneity_const","exec_party_spline","median_party_spline","exec_party_const","median_party_const","CitizenMood","CitizenHet","group","elec_family","thresh","dm","sa.formula","gdp2y","infl2y","unemp2y","decade","lag_mood_const","ChangeMoodConst","lag_mood_spline","ChangeMoodSpline","lag_CitMood","lag_CitHet","ChangeCitMood","lag_ChangeCitMood","mm_cong_spline","mm_cong_const","oo_cong_spline","oo_cong_const","mo_cong_spline","mo_cong_const"
2008,"Chile","President",-1.14895277704974,5.89462826628087,-0.308987116986932,5.29109210191535,-0.239065599207404,-0.0443920866845539,-0.354886363636364,-0.083671875,0.897121420279454,3.23778784155305,4,"TRS",0.5,1,"Majority",3.07372,-0.00153423528846336,7.450000048,"2000",-0.308987116986932,0,-0.924519473667537,-0.224433303382199,0.426392422391265,2.42232590029622,0.470728997888189,-0.670939483511655,0.701,0.767,0.388297460168469,0.576242820264154,0.671183870595454,0.916830576538686
2009,"Chile","President",-0.86686704260365,6.05970644701338,-0.308987116986932,5.29109210191535,-0.0806822680962434,0.00712290242783116,-0.354886363636364,-0.083671875,-0.123136359387421,1.09159716370792,4,"TRS",0.5,1,"Majority",0.0184599999999999,-0.235290323838752,8.75,"2000",-0.308987116986932,0,-1.14895277704974,0.282085734446086,0.897121420279454,3.23778784155305,-1.02025777966688,0.470728997888189,0.76,0.786,0.361796010883817,0.453286854707118,0.77295921727752,0.89093204955541
2010,"Chile","President",0.0371577142006004,6.07551860648193,0.0371577142006002,6.07551860648193,0.159761538461538,0.0846636923076923,0.159761538461538,0.0846636923076923,0.57222418964521,2.83233108850726,4,"TRS",0.5,1,"Majority",1.24241,-0.809708015839461,8.900000095,"2010",-0.308987116986932,0.346144831187532,-0.86686704260365,0.90402475680425,-0.123136359387421,1.09159716370792,0.695360549032631,-1.02025777966688,0.635,0.634,0.861850476325939,0.861850476325939,0.979005106142036,0.989087659848348
1996,"Chile","Senator",1.04654471063401,0.439711662352736,1.75798938355794,0.925016787941501,-0.0314836650678115,-0.0391097820874189,0.3299975415009,0.3299975415009,-0.219150367719203,1.77907283573351,3,"PR",0,2,"D'Hondt",7.464085,0.194725142811779,6.700000048,"1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,"Chile","Senator",0.96305067483794,0.37846115375886,0.96305067483794,0.37846115375886,-0.0833004925867241,-0.0833004925867241,-0.0833004925867241,-0.0833004925867241,-0.219150367719203,1.77907283573351,3,"PR",0,2,"D'Hondt",5.532465,0.0271866493115721,6.200000048,"1990",1.75798938355794,-0.79493870872,1.04654471063401,-0.0834940357960735,-0.219150367719203,1.77907283573351,0,NA,0.431,0.418,0.45825292010134,0.45825292010134,0.708762369089494,0.677370238580901
1998,"Chile","Senator",0.934332401145314,0.343299405038785,0.96305067483794,0.37846115375886,-0.110969328403417,-0.0990460550868367,-0.0833004925867241,-0.0833004925867241,0.617468848397775,0.411856441998255,3,"PR",0,2,"D'Hondt",3.515895,-0.15231887943865,6.200000048,"1990",0.96305067483794,0,0.96305067483794,-0.0287182736926256,-0.219150367719203,1.77907283573351,0.836619216116978,0,0.396,0.426,0.464364059215239,0.45825292010134,0.715321559060223,0.710233560382553
1999,"Chile","Senator",0.944229131707019,0.330874356325523,0.96305067483794,0.37846115375886,-0.123950581452275,-0.0948857172783247,-0.0833004925867241,-0.0833004925867241,0.696037321502206,0.675074586480067,3,"PR",0,2,"D'Hondt",-0.079515,-0.374905735088924,8.050000191,"1990",0.96305067483794,0,0.934332401145314,0.00989673056170448,0.617468848397775,0.411856441998255,0.0785684731044314,0.836619216116978,0.608,0.684,0.753715658043193,0.743172938538842,0.620766848997059,0.57885962244999
2000,"Chile","Senator",0.975914209001751,0.342078441711691,0.96305067483794,0.37846115375886,-0.132465145111891,-0.0798025489610839,-0.0833004925867241,-0.0833004925867241,0.44432153391263,2.36611526652746,3,"PR",0,2,"D'Hondt",0.577885,-0.47622663353905,9.5,"2000",0.96305067483794,0,0.944229131707019,0.0316850772947324,0.696037321502206,0.675074586480067,-0.251715787589576,0.0785684731044314,0.706,0.692,0.781325149134983,0.789257664386288,0.862347386837711,0.839547853831075
2001,"Chile","Senator",1.01256097550821,0.382996722988919,0.96305067483794,0.37846115375886,-0.146733912760861,-0.0627796199350104,-0.0833004925867241,-0.0833004925867241,0.631203926151157,3.41530795142327,3,"PR",0,2,"D'Hondt",2.635305,-0.457877179489027,9.150000095,"2000",0.96305067483794,0,0.975914209001751,0.0366467665064579,0.44432153391263,2.36611526652746,0.186882392238527,-0.251715787589576,0.553,0.555,0.637657728454124,0.658445257322668,0.937055681119181,0.954504382373772
2002,"Chile","Senator",1.03734277370509,0.468819198689241,1.03734277370509,0.468819198689241,-0.176977777777778,-0.0528,-0.176977777777778,-0.0528,1.08749805368008,1.34739743544896,3,"PR",0,2,"D'Hondt",1.513213,-0.56558049673916,9,"2000",0.96305067483794,0.0742920988671499,1.01256097550821,0.024781798196881,0.631203926151157,3.41530795142327,0.456294127528923,0.186882392238527,0.598,0.594,0.711167323013345,0.711167323013345,0.986006352114603,0.988180281221569
