Country	Variable	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009
Honduras	StdAverageTariff	0.45	0.66	0.67	0.76	0.8	0.9	0.91	0.91	0.91	0.91	0.93				0.96	0.96	0.96	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98
Jamaica	StdAverageTariff		0.55	0.82	0.82	0.81	0.81	0.81	0.81	0.82	0.82	0.82	0.8	0.8	0.8	0.83	0.96	0.96	0.96	0.96			0.96	0.96		
Mexico	StdAverageTariff	0.63	0.71	0.91	0.92	0.92	0.88	0.88	0.89	0.89	0.89	0.89	0.87	0.87	0.87	0.84	0.84	0.84	0.83	0.83	0.84	0.88	0.89	0.89	0.9	0.91
Nicaragua	StdAverageTariff	0.46		0.82			0.96				0.86	0.93	0.94	0.97	0.98	0.92	1	0.99	0.99	0.99	0.98	0.98	0.98	0.98	0.98	0.98
Paraguay	StdAverageTariff	0.22	0.82		0.82		0.86	0.86	0.94	0.94	0.95	0.92	0.92	0.92	0.91	0.89	0.89	0.9	0.9	0.9	0.91	0.92	0.93	0.92	0.92	0.92
Peru	StdAverageTariff	0.29	0.3	0.3	0.24	0.24	0.74	0.84	0.84	0.84	0.85	0.85	0.85	0.89	0.89	0.89	0.88				0.92	0.93	0.93	0.93	0.97	0.98
TrinidadTobago	StdAverageTariff				0.18	0.87	0.87	0.84	0.83	0.93	0.93	0.93	0.93	0.82	0.82	0.82	0.89	0.95	0.95	0.95			0.95	0.96	0.96	
Uruguay	StdAverageTariff	0.92	0.91	0.93	0.94	0.94	0.96	0.96	0.98	0.81	0.84	0.92	0.91	0.91	0.88	0.88	0.88	0.88	0.89	0.89	0.89	0.92	0.92	0.92	0.92	0.92
Venezuela	StdAverageTariff	0.67	0.67	0.64	0.63	0.67	0.81	0.85	0.85	0.86	0.9	0.88	0.88	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.89	0.89	0.89	0.89
Argentina	TradeDispersion	14.58	20.58	20.58	21.59	21.59	8.63	8.63	7.43	5.05	6.7	7.61	6.96	6.75	6.87	6.76	6.74	6.53	6.4	8.52	7.5	7.08	7.1	7.13	6.64	6.96
Bolivia	TradeDispersion	17.36	22.05	22.05	9.31	9.31	13.23	5.39	4.9	0.98	0.23	1.14	1.24	1.24	1.25	1.24	2.58	2.61	6	4.17	2.34	2.9	2.94	2.94	2.92	5.84
Brasil	TradeDispersion	41.69	34.1	34.1	29.78	19.55	19.83	17.27	14.21	8.28	8.21	6.9	8.6	7.67	7.33	6.97	6.82	7.05	6.86	6.71	6.76	6.77	6.76	6.71	8.03	8.36
Chile	TradeDispersion	2.97	1.6	1.6	0.94	0.94	0.85	0.85	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.6	0	0	0.46	0.64	0.81	0.81	0.45	0.45	0.64	0.48
Colombia	TradeDispersion	28.09	16.74	16.74	17.54	17.54	14.15	8.27	6.28	6.32	6.32	4.9	6.25	6.25	6.26	6.26	6.26	6.26	6.34	6.77	7.2	7.46	7.66	7.64	7.68	7.56
CostaRica	TradeDispersion	24.87	10.18	8.01	8.01	8.01	8.01	8.01	7.37	5.85	5.62	7.71	10.93	9.76	8.06	13.77	9.81	9.18	8.97	8.99	9	9.67	9.77	9.87	10.38	10.88
DominicanRep	TradeDispersion						13.15	13.15	13.15	13.15	11.18	11.18	11.18	9.22	10.78	9.22	10.19	7.92	8.03	8.03	7.92	8	8.05	9.09	8.06	8.57
Ecuador	TradeDispersion		39.2	39.2	38.79	38.79	20.5	20.5	6.03	6.03	6.32	5.58	6.4	6.4	6.39	6.57			6.39	6.4	6.4	6.58	6.57	6.57	9.15	11.9
ElSalvador	TradeDispersion		12.26	11.29	11.29	8.69	8.69	8.69	8.69	7.2	5.67	7.65	9.09	9.09	7.93	8.46	8.99	8.98	8.58	8.76	8.94	7.53	9.44	8.06	8.99	8.97
